2024-07-16 22:46:46,286 INFO    MainThread:3676898 [wandb_setup.py:_flush():76] Configure stats pid to 3676898
2024-07-16 22:46:46,287 INFO    MainThread:3676898 [wandb_setup.py:_flush():76] Loading settings from /home/lvairusanl/.config/wandb/settings
2024-07-16 22:46:46,287 INFO    MainThread:3676898 [wandb_setup.py:_flush():76] Loading settings from /lus/eagle/projects/datascience/lvairus/Pharmacokinetic_Modeling/ModelTraining/MolFormer_MultiTask_Class/wandb/settings
2024-07-16 22:46:46,287 INFO    MainThread:3676898 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-16 22:46:46,287 INFO    MainThread:3676898 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-16 22:46:46,287 INFO    MainThread:3676898 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'ModelTraining/MolFormer_MultiTask_Class/run_script_lv_multi.py', 'program': '/lus/eagle/projects/datascience/lvairus/Pharmacokinetic_Modeling/ModelTraining/MolFormer_MultiTask_Class/run_script_lv_multi.py'}
2024-07-16 22:46:46,287 INFO    MainThread:3676898 [wandb_init.py:_log_setup():506] Logging user logs to /lus/eagle/projects/datascience/lvairus/Pharmacokinetic_Modeling/ModelTraining/MolFormer_MultiTask_Class/wandb/run-20240716_224646-dfcoacmt/logs/debug.log
2024-07-16 22:46:46,287 INFO    MainThread:3676898 [wandb_init.py:_log_setup():507] Logging internal logs to /lus/eagle/projects/datascience/lvairus/Pharmacokinetic_Modeling/ModelTraining/MolFormer_MultiTask_Class/wandb/run-20240716_224646-dfcoacmt/logs/debug-internal.log
2024-07-16 22:46:46,287 INFO    MainThread:3676898 [wandb_init.py:init():546] calling init triggers
2024-07-16 22:46:46,287 INFO    MainThread:3676898 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {}
2024-07-16 22:46:46,287 INFO    MainThread:3676898 [wandb_init.py:init():602] starting backend
2024-07-16 22:46:46,287 INFO    MainThread:3676898 [wandb_init.py:init():606] setting up manager
2024-07-16 22:46:46,292 INFO    MainThread:3676898 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-07-16 22:46:46,295 INFO    MainThread:3676898 [wandb_init.py:init():613] backend started and connected
2024-07-16 22:46:46,296 INFO    MainThread:3676898 [wandb_init.py:init():701] updated telemetry
2024-07-16 22:46:46,303 INFO    MainThread:3676898 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2024-07-16 22:46:46,561 INFO    MainThread:3676898 [wandb_run.py:_on_init():2131] communicating current version
2024-07-16 22:46:46,630 INFO    MainThread:3676898 [wandb_run.py:_on_init():2140] got version response upgrade_message: "wandb version 0.17.4 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-07-16 22:46:46,630 INFO    MainThread:3676898 [wandb_init.py:init():789] starting run threads in backend
2024-07-16 22:46:55,386 INFO    MainThread:3676898 [wandb_run.py:_console_start():2112] atexit reg
2024-07-16 22:46:55,386 INFO    MainThread:3676898 [wandb_run.py:_redirect():1967] redirect: 3
2024-07-16 22:46:55,387 INFO    MainThread:3676898 [wandb_run.py:_redirect():2032] Wrapping output streams.
2024-07-16 22:46:55,387 INFO    MainThread:3676898 [wandb_run.py:_redirect():2057] Redirects installed.
2024-07-16 22:46:55,387 INFO    MainThread:3676898 [wandb_init.py:init():831] run started, returning control to user process
2024-07-16 22:47:03,209 INFO    MainThread:3676898 [wandb_watch.py:watch():51] Watching
